School name,2023 Enrolment Pressure (EPI),School Type,Suburb,LGA,Education Sector,Estimated no. Enrolments,Full Capacity (100% EPI),Spare Capacity,Note
Carlton Gardens Primary School,132%,Primary,Carlton,Melbourne (C),Government,448,339,-109,
Mount Waverley Heights Primary School,120%,Primary,Mount Waverley,Monash (C),Government,391,326,-65,
Upper Sandy Creek Primary School,120%,Primary,Sandy Creek,Indigo (S),Government,30,25,-5,
Beverley Hills Primary School,118%,Primary,Doncaster East,Manningham (C),Government,744,631,-113,
Oberon Primary School,118%,Primary,Belmont,Greater Geelong (C),Government,236,200,-36,
Chirnside Park Primary School,117%,Primary,Chirnside Park,Yarra Ranges (S),Government,380,325,-55,
East Doncaster Secondary College,115%,Secondary,Doncaster East,Manningham (C),Government,1790,1557,-233,
Ballarat Primary School (Dana Street),114%,Primary,Ballarat,Ballarat (C),Government,257,225,-32,
Pinewood Primary School,113%,Primary,Mount Waverley,Monash (C),Government,962,851,-111,
Glen Waverley Primary School,113%,Primary,Glen Waverley,Monash (C),Government,975,863,-112,
Rockbank Primary School,112%,Primary,Rockbank,Melton (C),Government,340,304,-36,
Strathmore North Primary School,110%,Primary,Strathmore,Moonee Valley (C),Government,635,577,-58,
Phoenix P-12 Community College,109%,Pri/Sec,Sebastopol,Ballarat (C),Government,1612,1479,-133,
Ashwood High School,109%,Secondary,Ashwood,Monash (C),Government,815,748,-67,
Clifton Hill Primary School,109%,Primary,Clifton Hill,Yarra (C),Government,680,624,-56,
Glen Waverley Secondary College,108%,Secondary,Glen Waverley,Monash (C),Government,2097,1942,-155,
East Loddon P-12 College,108%,Pri/Sec,Dingee,Loddon (S),Government,270,250,-20,
Queenscliff Primary School,108%,Primary,Queenscliff,Queenscliffe (B),Government,162,150,-12,
Mountain Gate Primary School,107%,Primary,Ferntree Gully,Knox (C),Government,427,399,-28,
Bundoora Primary School,107%,Primary,Bundoora,Banyule (C),Government,324,302,-21,
Longwood Primary School,107%,Primary,Longwood,Strathbogie (S),Government,53,50,-3,
Highvale Secondary College,106%,Secondary,Glen Waverley,Monash (C),Government,1118,1055,-63,
Brentwood Park Primary School,106%,Primary,Berwick,Casey (C),Government,1019,961,-58,
Burwood East Primary School,106%,Primary,Burwood East,Whitehorse (C),Government,642,606,-36,
Colbinabbin Primary School,106%,Primary,Colbinabbin,Campaspe (S),Government,53,50,-3,
Serpell Primary School,105%,Primary,Templestowe,Manningham (C),Government,1201,1144,-57,
Moorabbin Primary School,105%,Primary,Moorabbin,Kingston (C),Government,471,449,-22,
Bandiana Primary School,105%,Primary,Bandiana,Wodonga (C),Government,289,275,-14,
Bayles Regional Primary School,105%,Primary,Bayles,Cardinia (S),Government,183,175,-9,
North Geelong Secondary College,104%,Secondary,North Geelong,Greater Geelong (C),Government,989,951,-38,
Nossal High School,104%,Secondary,Berwick,Casey (C),Government,830,798,-32,
Templeton Primary School,104%,Primary,Wantirna,Knox (C),Government,728,700,-28,
Wheelers Hill Primary School,104%,Primary,Wheelers Hill,Monash (C),Government,704,677,-27,
Koondrook Primary School,104%,Primary,Koondrook,Gannawarra (S),Government,104,100,-4,
Wallan Primary School,103%,Primary,Wallan,Mitchell (S),Government,722,701,-21,
Yarrambat Primary School,103%,Primary,Yarrambat,Nillumbik (S),Government,646,628,-19,
Templestowe Park Primary School,103%,Primary,Templestowe,Manningham (C),Government,592,575,-17,
Donburn Primary School,103%,Primary,Doncaster East,Manningham (C),Government,544,528,-16,
Moriac Primary School,103%,Primary,Moriac,Surf Coast (S),Government,205,199,-6,
Nilma Primary School,103%,Primary,Nilma,Baw Baw (S),Government,77,75,-2,
Melton Secondary College,102%,Secondary,Melton,Melton (C),Government,1438,1410,-28,
Glendal Primary School,102%,Primary,Glen Waverley,Monash (C),Government,895,877,-18,
Auburn High School,102%,Secondary,Hawthorn East,Boroondara (C),Government,733,718,-14,
Kunyung Primary School,102%,Primary,Mount Eliza,Mornington Peninsula (S),Government,787,772,-15,
Newport Lakes Primary School,102%,Primary,Newport,Hobsons Bay (C),Government,559,548,-11,
Geelong South Primary School,102%,Primary,South Geelong,Greater Geelong (C),Government,334,327,-7,
The Lake Primary School,102%,Primary,Cabarita,Mildura (RC),Government,305,299,-6,
Wodonga West Primary School,102%,Primary,Wodonga,Wodonga (C),Government,255,250,-5,
Eltham High School,101%,Secondary,Eltham,Nillumbik (S),Government,1460,1446,-14,
Braybrook College,101%,Secondary,Braybrook,Maribyrnong (C),Government,1365,1351,-14,
Koonung Secondary College,101%,Secondary,Mont Albert North,Whitehorse (C),Government,1150,1139,-11,
Warrnambool College,101%,Secondary,Warrnambool,Warrnambool (C),Government,1240,1227,-12,
Brunswick Secondary College,101%,Secondary,Brunswick,Moreland (C),Government,1074,1063,-11,
John Monash Science School,101%,Secondary,Clayton,Monash (C),Government,658,652,-7,
Wangaratta West Primary School,101%,Primary,Wangaratta,Wangaratta (RC),Government,503,498,-5,
Mount Pleasant Road Nunawading Primary School,101%,Primary,Nunawading,Whitehorse (C),Government,432,428,-4,
Spring Gully Primary School,101%,Primary,Bendigo,Greater Bendigo (C),Government,405,401,-4,
Pascoe Vale South Primary School,101%,Primary,Pascoe Vale South,Moreland (C),Government,305,302,-3,
Armstrong Creek School,100%,Primary,Armstrong Creek,Greater Geelong (C),Government,717,717,0,
Manifold Heights Primary School,100%,Primary,Manifold Heights,Greater Geelong (C),Government,449,449,0,
Melbourne Girls College,100%,Secondary,Richmond,Yarra (C),Government,1410,1410,0,
Bacchus Marsh College,100%,Secondary,Bacchus Marsh,Moorabool (S),Government,1054,1054,0,
Derinya Primary School,100%,Primary,Frankston South,Frankston (C),Government,896,896,0,
Valkstone Primary School,100%,Primary,Bentleigh East,Glen Eira (C),Government,699,699,0,
Balwyn Primary School,100%,Primary,Balwyn,Boroondara (C),Government,626,626,0,
Rosebud Primary School,100%,Primary,Rosebud,Mornington Peninsula (S),Government,602,602,0,
Murrumbeena Primary School,100%,Primary,Murrumbeena,Glen Eira (C),Government,552,552,0,
Montmorency Primary School,100%,Primary,Montmorency,Banyule (C),Government,424,424,0,
Drouin West Primary School,100%,Primary,Drouin West,Baw Baw (S),Government,249,249,0,
Longford Primary School,100%,Primary,Longford,Wellington (S),Government,150,150,0,
Pyalong Primary School,99%,Primary,Pyalong,Mitchell (S),Government,99,100,1,
Roslyn Primary School,99%,Primary,Belmont,Greater Geelong (C),Government,223,225,2,
Chalcot Lodge Primary School,99%,Primary,Endeavour Hills,Casey (C),Government,296,299,3,
Mulgrave Primary School,99%,Primary,Mulgrave,Monash (C),Government,444,449,4,
Mitcham Primary School,99%,Primary,Mitcham,Whitehorse (C),Government,504,509,5,
Edithvale Primary School,99%,Primary,Edithvale,Kingston (C),Government,496,501,5,
Woodlands Primary School,99%,Primary,Langwarrin,Frankston (C),Government,892,901,9,
Oberon High School,99%,Secondary,Charlemont,Greater Geelong (C),Government,990,1000,10,
MacRobertson Girls High School,99%,Secondary,Melbourne,Port Phillip (C),Government,1193,1205,12,
Berwick Secondary College,99%,Secondary,Berwick,Casey (C),Government,1766,1783,18,
Frankston High School,99%,Secondary,Frankston,Frankston (C),Government,1932,1952,20,
Allansford and District Primary School,98%,Primary,Allansford,Warrnambool (C),Independent,179,182,4,
Mount Duneed Regional Primary School,98%,Primary,Mount Duneed,Greater Geelong (C),Government,367,374,7,
Fyans Park Primary School,98%,Primary,Newtown,Greater Geelong (C),Government,390,398,8,
Wonga Park Primary School,98%,Primary,Wonga Park,Manningham (C),Government,465,474,9,
Mildura West Primary School,98%,Primary,Mildura,Mildura (RC),Government,443,452,9,
Eastwood Primary School,98%,Primary,Ringwood East,Maroondah (C),Government,610,622,12,
Bellaire Primary School,98%,Primary,Highton,Greater Geelong (C),Government,642,655,13,
